ID,name,stardustCollection,wormholeNavSkill,originPlanet,spacesuitColor,department_ID,position_ID
"2b4f365b-9cff-49cf-8706-e2db0f6e6bfb","Letitia Mohr",650,10,"Kepler-22b","white","a53a1ee1-06cd-4814-be2b-2775c4822fbf","b9e2e160-15f8-42b2-9a56-07c2f70be00b"
"1712d210-a795-4e85-b41f-fa8042045662","Janelle Kunze",9094,2,"Kepler-22b","purple","84088378-c4fc-482d-8777-5d9aefb1ba79","033378bc-381b-475b-bbdd-97f15d7eaca7"
"ba3f86f6-7f08-405f-aeef-8df915705404","Wendell Weimann V",9219,0,"Kepler-22b","green","84088378-c4fc-482d-8777-5d9aefb1ba79","b9e2e160-15f8-42b2-9a56-07c2f70be00b"
"8c23db5f-8f95-4785-bab7-ed6e5c402d47","Reva Goyette",1409,8,"Kepler-22b","blue","a53a1ee1-06cd-4814-be2b-2775c4822fbf","af42f165-9a6f-4711-8b9e-bd44282bc708"
"90e9d827-2a01-4c04-92f0-446433a60433","Mrs. Raegan Rempel",1158,9,"Kepler-22b","plum","84088378-c4fc-482d-8777-5d9aefb1ba79","b9d34191-57a1-4338-a813-3c43bf87f463"
"626d9fd0-75fd-4b64-a9ab-a1479b4045d2","Mertie Torphy",1196,7,"Kepler-22b","silver","a53a1ee1-06cd-4814-be2b-2775c4822fbf","af42f165-9a6f-4711-8b9e-bd44282bc708"
"dc18b3ae-74c3-43ce-9ba4-7e9ec7a306e8","Ivy Brekke",6364,3,"Kepler-22b","olive","a53a1ee1-06cd-4814-be2b-2775c4822fbf","b9e2e160-15f8-42b2-9a56-07c2f70be00b"
"8f45aa33-8b57-4250-8328-d7c6ec094185","Daniela Greenfelder",9297,8,"Kepler-22b","plum","a53a1ee1-06cd-4814-be2b-2775c4822fbf","af42f165-9a6f-4711-8b9e-bd44282bc708"
"c2c2c609-2c24-48cf-aca3-89168a0fd77d","Kris Tremblay",1100,2,"Mars","maroon","709d8d2a-14e5-4736-9463-c930d8a33e1c","d27bcf48-2d7a-4837-a8c9-7cbef7677af2"
"ad7a5ef6-4dc4-4458-a492-a15c754bf2b9","Imani Carter",9430,3,"Mars","orange","709d8d2a-14e5-4736-9463-c930d8a33e1c","082af5d5-989c-4a36-b1f0-ae082c9a49de"
"f621c763-5fb9-4a9d-8a2b-5891aca64487","Delta Gutkowski",368,6,"Mars","olive","3e143a31-4dc1-4653-bf21-788aa67785da","b9e2e160-15f8-42b2-9a56-07c2f70be00b"
"c6d7ad7f-1557-4c9c-b19c-d164bb4992a5","Casimir Yost",6722,8,"Mars","grey","709d8d2a-14e5-4736-9463-c930d8a33e1c","082af5d5-989c-4a36-b1f0-ae082c9a49de"
"79d8fa96-abf7-46d9-9f12-8eb0dcf96a45","Jimmie Smith",1865,0,"Mars","pink","709d8d2a-14e5-4736-9463-c930d8a33e1c","b9d34191-57a1-4338-a813-3c43bf87f463"
"7a6b3ca2-91e7-4f96-8005-df82a71eda3a","Lon Pollich",9368,1,"Mars","lavender","3e143a31-4dc1-4653-bf21-788aa67785da","d27bcf48-2d7a-4837-a8c9-7cbef7677af2"
"76c46fd7-151b-4102-8b63-173a8288c911","Mac Luettgen",2418,1,"Mars","turquoise","709d8d2a-14e5-4736-9463-c930d8a33e1c","033378bc-381b-475b-bbdd-97f15d7eaca7"
"53845663-68e7-4b61-adaf-1ddf25bca1b8","Miss Melody Torphy",1616,9,"Mars","pink","3e143a31-4dc1-4653-bf21-788aa67785da","b9d34191-57a1-4338-a813-3c43bf87f463"
"a17a6958-cb7f-46ed-9340-e0e494ce8193","Kristina O'Keefe",7122,2,"Gliese 581g","lavender","a163e4bc-1950-4885-bbb1-8d3b6081dce3","033378bc-381b-475b-bbdd-97f15d7eaca7"
"4be17e93-2876-4ece-b4bb-31b27a315abd","Bob Gleason",9731,4,"HD 40307g","turquoise","e42d8176-7d34-4f15-bfd7-724ba3064513","af42f165-9a6f-4711-8b9e-bd44282bc708"
"e40a07da-8ad6-44e4-8f8c-cec3746d5d85","Craig Goyette",6455,1,"Kepler-186f","white","fd37450d-9c45-4125-833c-f2bb18cf58d1","d27bcf48-2d7a-4837-a8c9-7cbef7677af2"
"1b9b9fc3-f7d0-4d27-aba2-b37d5c5a4c44","Jaycee Windler-Stehr",3851,9,"TRAPPIST-1d","ivory","bffc2ba0-1c34-4bb5-8f19-b34fc34cd0d0","033378bc-381b-475b-bbdd-97f15d7eaca7"
"2cb91e90-7c32-4453-b2c1-171443bd75a9","Braden Zboncak",5183,9,"55 Cancri e","salmon","bf91fbad-91b0-4a57-b528-b482c55ff396","af42f165-9a6f-4711-8b9e-bd44282bc708"
"c2c3d3f6-c437-47d2-a5f1-d4e719b6c463","Priscilla Veum",5015,8,"TRAPPIST-1d","purple","55e4827c-fdd4-4a42-a7d8-5b9f2893b9e9","af42f165-9a6f-4711-8b9e-bd44282bc708"
"9b4a883f-23fc-4ccc-adf0-958df957cc07","Ardith Bashirian",5426,3,"55 Cancri e","pink","8fb74e79-0ec2-4a4b-a2ea-e590e02167b1","b9d34191-57a1-4338-a813-3c43bf87f463"
"1b19b2f8-093e-474f-b9e2-1c0d1733403e","Kay Emmerich",853,0,"HD 40307g","orange","e42d8176-7d34-4f15-bfd7-724ba3064513","033378bc-381b-475b-bbdd-97f15d7eaca7"
"14c75131-897e-4a29-9828-51270e3caea8","Emmet Goldner",784,0,"Gliese 581g","white","a163e4bc-1950-4885-bbb1-8d3b6081dce3","af42f165-9a6f-4711-8b9e-bd44282bc708"
"bb6f3824-9854-4f22-9fb2-ef1ce8e70b5e","Destany Rau",2799,10,"Kepler-452b","salmon","c08d325b-473a-4cb8-81b8-f168b475ffa9","033378bc-381b-475b-bbdd-97f15d7eaca7"
"bc005607-317c-4046-8dab-4442ca37e83e","Nannie Buckridge",407,9,"Kepler-452b","red","018afbbb-c8ea-441b-be5b-6b5698c09221","b9d34191-57a1-4338-a813-3c43bf87f463"
"cbbe7443-0bb0-44fb-9e68-a75ac35fa704","Jacynthe Morissette",453,4,"Kepler-452b","plum","c08d325b-473a-4cb8-81b8-f168b475ffa9","d27bcf48-2d7a-4837-a8c9-7cbef7677af2"
